epoch,loss,acc,lr
1,1.5735958905449217,0.016525389613939526,0.0001
2,1.450533073295065,0.01374548728873732,0.0001
3,1.34492426235245,0.010029430449322658,0.0001
4,1.2698785272006015,0.002592040077234743,0.0001
5,1.2272202658934073,0.01600836054647181,0.0001
6,1.1993325616326167,0.06208929660134984,0.0001
7,1.1733501382861276,0.18264850576787744,0.0001
8,1.1557200062634323,0.23136006075793364,0.0001
9,1.136707761670362,0.26366615316295655,0.0001
10,1.1218448750224546,0.2897584042128574,0.0001
11,1.105759334948204,0.3098017066133021,0.0001
12,1.0902519634615802,0.2913820272666027,0.0001
13,1.076647883659646,0.37116912685931697,0.0001
14,1.063460241063495,0.33977313430260736,0.0001
15,1.0479389236086905,0.3842298528137491,0.0001
16,1.041247792095183,0.3364744830988198,0.0001
17,1.0236789072616819,0.4083533765579891,0.0001
18,1.015340419067944,0.40312878029607657,0.0001
19,1.0060610997467698,0.39703018598824,0.0001
20,0.9984402128563381,0.384604743343723,0.0001
21,0.9781315684070709,0.410977075425738,0.0001
22,0.9805386273363672,0.4015529030093407,0.0001
23,0.9533693701969639,0.4755562963004301,0.0001
24,0.9567662228522706,0.4277535608713183,0.0001
25,0.9487956762634803,0.42265992042230305,0.0001
26,0.9229498600016883,0.4687613484672177,0.0001
27,0.9182880336111261,0.42660788059737914,0.0001
28,0.9148223104264083,0.42617760878356,0.0001
29,0.8966084528420166,0.46981225638062735,0.0001
30,0.8724345345344469,0.4915836892056657,0.0001
31,0.8473166735286339,0.49426837198136914,0.0001
32,0.8549378966460868,0.47511861854408327,0.0001
33,0.8554866009983174,0.4753172132263526,0.0001
34,0.8339539711545483,0.4616622035262198,0.0001
35,0.8065588133410874,0.5081385496310208,0.0001
36,0.7702067210261758,0.5194664204007317,0.0001
37,0.7715072049956154,0.5194217677161985,0.0001
38,0.7764379104013923,0.47591790441582715,0.0001
39,0.7360432448913121,0.5339715152890374,0.0001
40,0.7090001508146352,0.5530100702302917,0.0001
41,0.7004566611225804,0.5433526177096469,0.0001
42,0.6744563500343319,0.57805454254228,0.0001
43,0.6677310321719264,0.5502788024289003,0.0001
44,0.6527533615563648,0.5635794216046217,0.0001
45,0.6327918457096282,0.5871244041720958,0.0001
46,0.6081602470339573,0.5956598797004297,0.0001
47,0.6188946328932212,0.5695813767990464,0.0001
48,0.560316580127827,0.6105105867295607,0.0001
49,0.5793259508852837,0.581010751095642,0.0001
50,0.5937162456959794,0.5596909355183127,0.0001
51,0.5578789887787698,0.5988819198163696,0.0001
52,0.5843813614635,0.5795060095851092,0.0001
53,0.5505355475063928,0.5851919625056445,0.0001
54,0.5158923102520853,0.6509105029428133,0.0001
55,0.5242600254588474,0.6085711214360194,0.0001
56,0.5154860593228066,0.6197904749464097,0.0001
57,0.5185909446149217,0.5863779488453904,0.0001
58,0.5093022341663834,0.6046053693495603,0.0001
59,0.47207223775316426,0.6294830272211158,8e-05
60,0.5352046126185722,0.5894972846678638,8e-05
61,0.4769635364883748,0.6121526609872778,8e-05
62,0.4810796638549584,0.6278480791873917,8e-05
63,0.459559862669259,0.6339557967540419,8e-05
64,0.470362343370411,0.6167267167957682,8e-05
65,0.4303472001906916,0.6489850986685788,8e-05
66,0.4284117098190281,0.6517432247405027,8e-05
67,0.4425282966578808,0.6496532249987123,8e-05
68,0.41949480661866195,0.6514641058410359,8e-05
69,0.40899413402347123,0.6670840570327655,8e-05
70,0.4445547291788669,0.6285248025388586,6.400000000000001e-05
71,0.44274364778066105,0.6274298143802574,6.400000000000001e-05
72,0.4161568131659625,0.6514274254651107,6.400000000000001e-05
73,0.43352094761247145,0.627922650923738,6.400000000000001e-05
74,0.3907493316617386,0.6752288451532518,6.400000000000001e-05
75,0.41897781069586465,0.6479294260062146,6.400000000000001e-05
76,0.4098055214842968,0.660186869639384,6.400000000000001e-05
77,0.41880054420259,0.6378535651643478,6.400000000000001e-05
78,0.4290820119031796,0.6253127264386138,6.400000000000001e-05
79,0.41933675280639965,0.6682975304056974,6.400000000000001e-05
80,0.42867349622559137,0.6299499875202249,6.400000000000001e-05
81,0.36944927138576983,0.689794237891964,5.120000000000001e-05
